,name,cv_results,best_estimator,best_score,train_score,test_score,feature_list
0,handpicked tuned DCT,"   mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
0       4.321217      0.913345         0.266514        0.017368   
1       0.404517      0.012665         0.134148        0.027040   
2       1.814030      0.063551         0.182485        0.024565   
3      14.610151      0.382880         0.637352        0.012922   
4       7.734408      0.413986         0.433041        0.064107   
5      38.928202      0.964779         1.674852        0.140234   
6      13.290140      2.819715         0.759463        0.078818   
7       3.246499      0.151143         0.261782        0.013874   
8      40.673039      1.736454         1.588245        0.124996   
9       4.311857      0.392506         0.250315        0.018861   

  param_fxn__n_estimators param_fxn__min_samples_split  \
0                      50                            5   
1                      20                            4   
2                      20                            5   
3                     200                            5   
4                     100                            5   
5                     500                            4   
6                     200                            4   
7                      50                            5   
8                     500                            2   
9                     100                            5   

  param_fxn__max_features param_fxn__max_depth param_fxn__criterion  \
0                    log2                  101              entropy   
1                    auto                    1              entropy   
2                    auto                  151              entropy   
3                    log2                  181              entropy   
4                    log2                  161              entropy   
5                    log2                   41              entropy   
6                    log2                  101                 gini   
7                    auto                  161                 gini   
8                    auto                   31              entropy   
9                    auto                   11              entropy   

                                              params  ...  mean_test_score  \
0  {'fxn__n_estimators': 50, 'fxn__min_samples_sp...  ...         0.642001   
1  {'fxn__n_estimators': 20, 'fxn__min_samples_sp...  ...         0.145689   
2  {'fxn__n_estimators': 20, 'fxn__min_samples_sp...  ...         0.640249   
3  {'fxn__n_estimators': 200, 'fxn__min_samples_s...  ...         0.639788   
4  {'fxn__n_estimators': 100, 'fxn__min_samples_s...  ...         0.639142   
5  {'fxn__n_estimators': 500, 'fxn__min_samples_s...  ...         0.643476   
6  {'fxn__n_estimators': 200, 'fxn__min_samples_s...  ...         0.642278   
7  {'fxn__n_estimators': 50, 'fxn__min_samples_sp...  ...         0.640618   
8  {'fxn__n_estimators': 500, 'fxn__min_samples_s...  ...         0.643799   
9  {'fxn__n_estimators': 100, 'fxn__min_samples_s...  ...         0.408714   

   std_test_score  rank_test_score  split0_train_score  split1_train_score  \
0        0.005580                4            0.910904            0.907561   
1        0.005379               10            0.145459            0.144710   
2        0.004563                6            0.896784            0.900127   
3        0.004358                7            0.915168            0.916033   
4        0.003790                8            0.912460            0.913728   
5        0.005092                2            0.955337            0.953608   
6        0.003646                3            0.948018            0.947556   
7        0.004831                5            0.902663            0.904276   
8        0.006014                1            0.994179            0.993315   
9        0.012605                9            0.418107            0.442485   

   split2_train_score  split3_train_score  split4_train_score  \
0            0.906985            0.907100            0.909059   
1            0.144133            0.147361            0.148225   
2            0.900069            0.901337            0.898398   
3            0.914361            0.915341            0.916263   
4            0.910327            0.912863            0.913900   
5            0.955337            0.955279            0.956028   
6            0.948190            0.949458            0.950380   
7            0.903527            0.904622            0.904391   
8            0.993718            0.994064            0.994410   
9            0.428135            0.422775            0.441678   

   mean_train_score  std_train_score  
0          0.908322         0.001488  
1          0.145977         0.001565  
2          0.899343         0.001585  
3          0.915433         0.000675  
4          0.912656         0.001281  
5          0.955118         0.000804  
6          0.948721         0.001042  
7          0.903896         0.000718  
8          0.993937         0.000383  
9          0.430636         0.009873  

[10 rows x 25 columns]","Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()),
                ('fxn',
                 RandomForestClassifier(criterion='entropy', max_depth=31,
                                        n_estimators=500,
                                        random_state=60120))])",0.643798986,0.992208391,0.655292607,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
1,RFC_vanilla,[0.64564315 0.62863071 0.63858921],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()),
                ('fxn', RandomForestClassifier(random_state=60120))])",na,0.994886364,0.739646465,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
2,DCT_vanilla,[0.62600277 0.61798064 0.62295989],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()),
                ('fxn', DecisionTreeClassifier(random_state=60120))])",na,0.994949495,0.706313131,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
3,XGB_vanilla,[0.39930844 0.38990318 0.38326418],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()),
                ('fxn',
                 XGBClassifier(objective='multi:softprob',
                               random_state=60120))])",na,0.670854377,0.669107744,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
4,handpicked_tuned_DCT,"   mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
0       0.245514      0.005954         0.093889        0.005024   
1       0.273585      0.007537         0.092535        0.005668   
2       0.254554      0.038819         0.105191        0.016212   
3       0.368893      0.051884         0.101366        0.006816   
4       0.346650      0.006549         0.097452        0.005210   
5       0.245471      0.012515         0.103950        0.006689   
6       0.346335      0.042875         0.132630        0.030304   
7       0.325473      0.034981         0.138127        0.011834   
8       0.404670      0.031878         0.129650        0.024026   
9       0.336146      0.040389         0.122312        0.022758   

  param_fxn__splitter param_fxn__min_samples_split param_fxn__max_features  \
0              random                            4                    log2   
1                best                            5                    log2   
2              random                            5                    auto   
3                best                            4                    log2   
4                best                            4                    log2   
5              random                            2                    log2   
6                best                            4                    log2   
7              random                            5                    auto   
8                best                            5                    log2   
9                best                            2                    auto   

  param_fxn__max_depth param_fxn__criterion  \
0                   81              entropy   
1                   71                 gini   
2                  151                 gini   
3                  191              entropy   
4                   71              entropy   
5                   21              entropy   
6                   31                 gini   
7                   81                 gini   
8                  181              entropy   
9                  171                 gini   

                                              params  ...  mean_test_score  \
0  {'fxn__splitter': 'random', 'fxn__min_samples_...  ...         0.581789   
1  {'fxn__splitter': 'best', 'fxn__min_samples_sp...  ...         0.603366   
2  {'fxn__splitter': 'random', 'fxn__min_samples_...  ...         0.573675   
3  {'fxn__splitter': 'best', 'fxn__min_samples_sp...  ...         0.609774   
4  {'fxn__splitter': 'best', 'fxn__min_samples_sp...  ...         0.609774   
5  {'fxn__splitter': 'random', 'fxn__min_samples_...  ...         0.487921   
6  {'fxn__splitter': 'best', 'fxn__min_samples_sp...  ...         0.604841   
7  {'fxn__splitter': 'random', 'fxn__min_samples_...  ...         0.573675   
8  {'fxn__splitter': 'best', 'fxn__min_samples_sp...  ...         0.608437   
9  {'fxn__splitter': 'best', 'fxn__min_samples_sp...  ...         0.630337   

   std_test_score  rank_test_score  split0_train_score  split1_train_score  \
0        0.009189                7            0.780717            0.779507   
1        0.005700                6            0.869295            0.871888   
2        0.006447                8            0.737609            0.738762   
3        0.005761                2            0.898744            0.902086   
4        0.005761                2            0.898744            0.902086   
5        0.029885               10            0.574516            0.530775   
6        0.009063                5            0.860477            0.879553   
7        0.006447                8            0.737609            0.738762   
8        0.008231                4            0.874769            0.872118   
9        0.005403                1            0.995332            0.994122   

   split2_train_score  split3_train_score  split4_train_score  \
0            0.777086            0.778181            0.779276   
1            0.866240            0.872061            0.872522   
2            0.740779            0.737437            0.739799   
3            0.898974            0.902086            0.903757   
4            0.898974            0.902086            0.903757   
5            0.622464            0.569905            0.680325   
6            0.883241            0.874942            0.865203   
7            0.740779            0.737437            0.739799   
8            0.876729            0.876844            0.872464   
9            0.994640            0.993661            0.995274   

   mean_train_score  std_train_score  
0          0.778953         0.001233  
1          0.870401         0.002366  
2          0.738877         0.001278  
3          0.901130         0.001953  
4          0.901130         0.001953  
5          0.595597         0.051395  
6          0.872683         0.008587  
7          0.738877         0.001278  
8          0.874585         0.002016  
9          0.994606         0.000649  

[10 rows x 25 columns]","Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()),
                ('fxn',
                 DecisionTreeClassifier(max_depth=171, max_features='auto',
                                        random_state=60120))])",0.630336561,0.994190871,0.63841497,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
5,vanilla_knn,[0.60373444 0.59087137 0.60041494],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  StandardScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()), ('fxn', KNeighborsClassifier())])",na,0.810311448,0.743013468,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
6,vanilla_logreg,[0.37053942 0.36984786 0.35947441],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  StandardScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()), ('fxn', LogisticRegression())])",na,0.655155724,0.654292929,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
7,vanilla_logreg,[0.37053942 0.36984786 0.35975104],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()), ('fxn', LogisticRegression())])",na,0.655071549,0.654292929,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
8,vanilla_logreg,[0.37081604 0.36984786 0.35975104],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()),
                ('fxn', LogisticRegression(max_iter=500))])",na,0.655050505,0.654208754,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
9,vanilla_logreg,[0.37081604 0.36984786 0.35975104],"Pipeline(steps=[('impute categorical',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('impute',
                                                  SimpleImputer(fill_value='none',
                                                                strategy='constant'),
                                                  [0, 1, 4, 5])])),
                ('encode&scale',
                 ColumnTransformer(remainder='passthrough',
                                   transformers=[('OHE',
                                                  OneHotEncoder(handle_unknown='ignore',
                                                                sparse=False),
                                                  slice(0, 4, None)),
                                                 ('rescale num2',
                                                  MinMaxScaler(),
                                                  slice(4, 7, None))])),
                ('KNN impute', KNNImputer()),
                ('fxn', LogisticRegression(max_iter=500))])",na,0.655050505,0.654208754,"Index(['basin', 'extraction_type', 'latitude', 'longitude', 'payment_type',
       'water_quality_character', 'water_quality_abandoned'],
      dtype='object')"
